id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12797822,Private Room in Old-Limoilou,19026917,Guillaume,,Vieux-Limoilou,46.82436,-71.22174,Private room,50,4,22,2017-07-06,0.28,1,0,0,
13082525,Logement charmant et près de tout,68373320,Benoit,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81574,-71.21374,Entire home/apt,85,30,151,2020-03-08,1.93,1,0,0,
13111792,Comfort at the Old Port,54237398,France Et Charles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81556,-71.21217,Entire home/apt,125,4,203,2022-11-18,2.59,2,324,43,
13186433,"Come live the charm of Old-Qc  -1BR, all inclusive",49947368,Isabelle,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81194,-71.21204,Entire home/apt,114,31,8,2022-08-31,0.21,15,63,3,294596
13186750,"Suite 10 Old-Qc 1BR APT, balcony, parking $",49947368,Isabelle,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81197,-71.21122,Entire home/apt,105,2,5,2022-11-13,0.12,15,7,3,294596
13187019,"Suite 2 Old-Qc 1 BR, balcony,parking$,month/lease",49947368,Isabelle,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81197,-71.21122,Entire home/apt,150,30,7,2022-11-23,0.11,15,68,4,294596
13187351,"Old-Qc 1 BR, balcony, parking$",49947368,Isabelle,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81197,-71.21122,Entire home/apt,105,30,14,2022-11-12,0.25,15,8,8,
13187532,"Fabulous Old-Qc 1BR APT, balcony, parking $",49947368,Isabelle,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81197,-71.21122,Entire home/apt,105,30,8,2022-10-01,0.20,15,37,6,
13304655,Spacious apartment with parking,70222164,Elodie,,Saint-Jean-Baptiste,46.80479,-71.22496,Entire home/apt,150,180,183,2022-09-24,2.34,4,40,4,
13355882,✨Ancestrale avec Spa près du centre-ville #294363,75740727,Audrey,,Vieux-Moulin,46.85219,-71.20465,Entire home/apt,329,2,429,2022-12-05,5.43,3,278,68,294363
13446424,Comfortable Loft,76767973,Virginie,,Vieux-Moulin,46.84836,-71.20984,Entire home/apt,104,2,119,2022-10-07,1.52,1,76,22,306954
13525362,The old Quebec with the new flame,64917103,Christine,,Saint-Roch,46.8135,-71.22914,Entire home/apt,108,1,327,2022-11-27,4.27,2,306,61,303841
13671409,"Long terme
Beau studio au centre de Québec",79520968,Eric,,Jésuites,46.85283,-71.23701,Entire home/apt,45,180,44,2019-09-02,0.56,1,364,0,
